title,creator,creationdate,publisher,idfile,filename,typefile
Cacao,,2013,,33623,Ver_video_33623.mp4,video
La poda en cacao.,,1988,,29864,27319_15935.pdf,pdf
El beneficio del cacao en grano.,,1988,,29867,27323_15939.pdf,pdf
Aspectos básicos sobre la calidad del cacao en grano.,,1988,,29865,27321_15937.pdf,pdf
pH relationship and nutrient availability for cacao in an Entisol from the Colombian Amazon,,2017-08-31,,34038,742-Texto%20del%20art%c3%adculo-2464-1-10-20171204.pdf,pdf
Fertilización orgánica y química de clones de cacao (Theobroma cacao L.) en un sistema agroforestal,,2022-04-04,,38823,Ver_documento_38823.pdf,pdf
Efecto del encalado en el uso eficiente de macronutrientes para cacao (Theobroma cacao L.) en la Amazonia colombiana,,2019-01-14,,34481,Ver_Documento_34481.pdf,pdf
"Caracterización fenotípica y genotípica de cultivares de cacao (Theobroma cacao L.) de Dibulla, La Guajira, Colombia",,2020-09-04,,38740,Ver_documento_38740.pdf,pdf
Productor Cacao Balance Social Santander,,2018,,35738,Productor_Betty_Murcia_Santander_Cacao_Balance_Social_LaSuiza_Autor_Silvia_Florez_2018_Agrosavia_02.JPG,other
Productor Cacao Balance Social Santander,,2018,,35738,Productor_Betty_Murcia_Santander_Cacao_Balance_Social_LaSuiza_Autor_Silvia_Florez_2018_Agrosavia_02.JPG,other
Ecofisiología del cacao.,,1988,,29863,27318_15934.pdf,pdf
Cacao Maraco:Theobroma Bicolor,,2018,,35686,Cacao_TheobromaBicolor_LaSuiza_05_Silvia_Florez.JPG,other
Cacao Maraco:Theobroma Bicolor,,2018,,35686,Cacao_TheobromaBicolor_LaSuiza_05_Silvia_Florez.JPG,other
Cacao Maraco:Theobroma Bicolor,,2018,,35684,Cacao_Maraco_Theobroma_Bicolor_Florencia_Caqueta%cc%81_03.jpg,other
Cacao Maraco:Theobroma Bicolor,,2018,,35684,Cacao_Maraco_Theobroma_Bicolor_Florencia_Caqueta%cc%81_03.jpg,other
Symbiotic asociation of arbuscular mycorrhizal fungi and the root system of cocoa (Theobroma cacao L.) seedlings: effect of formononetin and phosphorus availability at soil level,,2011-12-29,,33879,Ver_Documento_33879.pdf,pdf
Cacao: poscosecha,,2017,,34108,Cacao_Seleccion_Transporte_Maceo_Antioquia_Paramo_07.jpg,other
Strategies for Control of Moniliophthora roreri and Moniliophthora perniciosa in Theobroma cacao L.: A Systematic Review,,2016-08-16,,35224,Ver_Documento_35224.pdf,pdf
Variedades de cacao,,2021-03,,39205,Ver_Imagen_39205.jpg,other
Variedades de cacao,,2021-03,,39205,Ver_Imagen_39205.jpg,other
Métodos de beneficio del cacao.,,1972,,28711,26095_12051.pdf,pdf
Cultivo cacao,,1976,,13690,60484_62898.pdf,pdf
Modelo productivo de cacao: cosecha y poscosecha del cacao,,2021-09,,39319,Ver_Imagen_39319.jpg,other
Modelo productivo de cacao: cosecha y poscosecha del cacao,,2021-09,,39319,Ver_Imagen_39319.jpg,other
Cacao: Cosecha,,2017,,34107,Cacao_Cosecha_Maceo_Antioquia_Paramo_01.jpg,other
Cacao SC 1 (Selección Colombia 1):Colección de trabajo del Banco de Germoplasma identificado con el nombre de SC 1 (Selección Colombia 1),,2018,,35680,Cacao_%20SC1_LaSuiza_01_Silvia_Florez.JPG,other
Manejo integral del cultivo de cacao en Colombia.,,1988,,21028,27316_15932.pdf,pdf
El cacao en la zona cafetera Colombiana.,,1988,,29862,27317_15933.pdf,pdf
Beneficio del cacao.,,1981,,13152,22793_3784.pdf,pdf
"Effect of Organic and Conventional Fertilization on the Growth and Production of Theobroma Cacao L. Under an Agroforestry System in Rivera (Huila, Colombia)",,2015-01-21,,35170,Ver_Documento_35170.pdf,pdf
Sistemas agroforestales de cacao,,2021,,39202,Ver_Imagen_39202.jpg,other
Sistemas agroforestales de cacao,,2021,,39202,Ver_Imagen_39202.jpg,other
Rehabilitacion de plantaciones de cacao,,2021-03,,39203,Ver_Imagen_39203.jpg,other
Rehabilitacion de plantaciones de cacao,,2021-03,,39203,Ver_Imagen_39203.jpg,other
Sudden death of Theobroma cacao L. caused by Verticillium dahliae Kleb. in Peru and its invitrobiocontrol,,2019-01-14,,35285,Ver_Documento_35285.pdf,pdf
Estimación del potencial de producción de bioetanol a  partir de los residuos de la corteza del cacao en Ecuador,,2020-08-26,,38734,Ver_documento_38734.pdf,pdf
Curso de cacao,,1972,,17321,Ver_Documento_61255.pdf,pdf
Propagación del cacao.,,1981,,13570,22790_3781.pdf,pdf
El beneficio y características físico químicas del cacao (Theobroma cacao L.).,,2004,,18060,42772_46877.pdf,pdf
El grano de cacao y su calidad,,,,22094,80898_67115.pdf,pdf
Manejo de problemas entomológicos en el cultivo del cacao.,,1988,,21029,27320_15936.pdf,pdf
Frecuencias de remoción de material afectado por escoba de bruja Crinipellis perniciosa (Stahel) Singer en cacao.,,1988,,29866,27322_15938.pdf,pdf
Diferentes tipos de cacao.,,1981,,13559,22788_3779.pdf,pdf
El beneficio del cacao,,1988,,29868,Ver_documento_29868.pdf,pdf
"Origen, expansión y situación actual del cacao.",,1981,,13384,22784_3775.pdf,pdf
Costos de establecimiento del cacao.,,1981,,13390,22796_3787.pdf,pdf
Módulos técnicos cacao,,2004,,34588,59477.pdf,pdf
Poscosecha del cacao,,2020,,36668,Ver_Documento_36668.pdf,pdf
Suelos para cacao y fertilización.,,1981,,13387,22787_3778.pdf,pdf
Manejo de enfermedades en cacao.,,1990,,30728,28293_18520.pdf,pdf
Morfología y genética del cacao.,,1990,,30727,28288_18515.pdf,pdf
El cacao en grano en cifras,,2006,,34256,59300.pdf,pdf
